Year,Category,Nominee,Artist,Winner,Track_ID,Popularity,Danceability,Energy,Tempo
2019,Album Of The Year,"thank u, next",Ariana Grande,True,3e9HZxeyfWwjeyPAMmWSSQ,82,0.717,0.653,106.966
2019,Album Of The Year,"thank u, next",Ariana Grande,True,1noVFMjvEf8ESzeK3DzJmV,10,0.543,0.44,93.907
2019,Best Pop Vocal Album,"thank u, next",Ariana Grande,True,3e9HZxeyfWwjeyPAMmWSSQ,82,0.717,0.653,106.966
2019,Best Pop Vocal Album,"thank u, next",Ariana Grande,True,1noVFMjvEf8ESzeK3DzJmV,10,0.543,0.44,93.907
2019,Album Of The Year,7,Lil Nas X,True,5IKz3HfzRT3EAhxCsrBqwf,58,0.466,0.976,98.377
2019,Song Of The Year,Lover,,True,5kBC3lWxOG0393nUcK6lmX,10,0.67,0.926,108.008
2019,Song Of The Year,Lover,,True,4rUQPct3yT97OXelj85R5Q,40,0.763,0.533,145.004
2019,Song Of The Year,Lover,,True,0XwRlvv3KlOu4HWlOH34XG,71,0.827,0.587,119.936
2019,Song Of The Year,Lover,,True,6X7pjnNm5dHSUot6hp3KFU,0,0.359,0.543,68.505
2019,Song Of The Year,Lover,,True,1dGr1c8CrMLDpV6mPbImSI,85,0.359,0.543,68.534
2019,Song Of The Year,Lover,,True,40u9pTla24PIkyRLKKVh6a,54,0.659,0.873,124.982
2019,Best Pop Vocal Album,Lover,Taylor Swift,True,5kBC3lWxOG0393nUcK6lmX,10,0.67,0.926,108.008
2019,Best Pop Vocal Album,Lover,Taylor Swift,True,4rUQPct3yT97OXelj85R5Q,40,0.763,0.533,145.004
2019,Best Pop Vocal Album,Lover,Taylor Swift,True,0XwRlvv3KlOu4HWlOH34XG,71,0.827,0.587,119.936
2019,Best Pop Vocal Album,Lover,Taylor Swift,True,6X7pjnNm5dHSUot6hp3KFU,0,0.359,0.543,68.505
2019,Best Pop Vocal Album,Lover,Taylor Swift,True,1dGr1c8CrMLDpV6mPbImSI,85,0.359,0.543,68.534
2019,Best Pop Vocal Album,Lover,Taylor Swift,True,40u9pTla24PIkyRLKKVh6a,54,0.659,0.873,124.982
2019,Song Of The Year,Someone You Loved,,True,52J3WARiRHMtXbFXUWrVgu,57,0.736,0.364,110.023
